No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
21,🇵🇱Polka🇵🇱,"Im bardziej Niemcy z Tuskiem są zdenerwowani i mają pełne gacie, tym bardziej jestem pewna, nie tylko ja, iż najlepszym kandydatem na urząd Prezydenta Polski 2025 r. jest Pan dr Karol Nawrocki @NawrockiKn ✌️ @Nawrocki25 #Prezydent2025
 i tyle w temacie, #TylkoNieTrzaskowski ‼️ https://t.co/qJ7cmKYOf5",Thu May 22 23:29:43 +0000 2025,4,215,1452
22,Tomek Niszpor,"To nie Z ,to N jak Nawrocki ✌️ https://t.co/sI28fODbEn",Thu May 22 23:32:54 +0000 2025,0,0,13
23,Karol Karolix,"Pan @NawrockiKn ma taką inteligencję, charyzmę aparycję, postawę i tak pasuje do roli Prezydenta Polski, że nawet bez pomocy @pisorgpl wygrałby te wybory🇵🇱💪 https://t.co/P7vPrdCs5X",Tue May 20 21:27:31 +0000 2025,9,252,1892
24,Daniel Rich,@OsaMorska007 Czy znajdzie sie taki co bedzie zadzieral z Osa.....🤣🤣🤣...a Prezydent  moze byc tylko jeden....Karol Nawrocki.....a to dla Trzaskowskiego aby mial czym zwijac z Warszawy.... https://t.co/fBePLkiKdB,Thu May 22 23:13:03 +0000 2025,0,2,36
25,⌗𝙠𝙖𝙧𝙤 ᵎᵎ ٠ ࣪⭑🕸,nigdy nie dotykałem tak długo telefonu karo,Thu May 22 22:12:18 +0000 2025,0,1,36
26,Tomek,Karol pokaż klatę! Tylko bez blizn.,Thu May 22 23:08:14 +0000 2025,0,0,1
27,Stasiu Polak,Nie jestem pewny ale zdaje się że to właśnie ten Pan powiedział cytuję:Po co Polsce 500 Himarsów wyrzutni rakietowych USA😂 Likwidacja Polski zatrzyma się w momencie gdy NAWROCKI wygra wybory i zostanie Prezydentem RP z mocnym głosem Polaków 65%👍💪🇵🇱,Thu May 22 23:35:36 +0000 2025,0,1,17
28,Wieści24.pl,Karol Nawrocki jak Patrycja Kotecka-Ziobro – kontakty z mafiozami https://t.co/CJ3ybd9R8p,Wed May 21 06:11:13 +0000 2025,6,225,2471
29,Stasiu Polak,Ty to już dawno żyjesz w stymulacji albo ejakulacji bo jak to stwierdziłeś nie jesteś Polakiem tylko europejczykiem z polskim pochodzeniem😂Liżesz rów Dupiarza aż miło😂NAWROCKI wygra wybory👍💪🇵🇱,Thu May 22 23:39:55 +0000 2025,0,1,20
30,Iwona,"Karol mówi 
***** ***",Thu May 22 22:54:39 +0000 2025,0,0,11
31,Mira🇪🇺🇵🇱🌍,"Nawrocki na czele Państwa to tylko wstyd i strach.
Ustawki kibolskie,pokoje ""miłości"", wyludzenie mieszkania, przyjaźnie z przestępcami to dyskwalifikacja.
Żaden Przywódca innego kraju nie będzie miał fo niego zaufania.
Głosujemy na @trzaskowski_ 
#Trzaskowski2025 #Siódemka",Thu May 22 21:36:19 +0000 2025,0,7,53
32,Don Corlene,Karol Batyr z synami bierze udział w imprezie sportowej w niedzielę po mszy o 11 zawsze można na niego liczyć https://t.co/n3QOqhjF11,Thu May 22 23:48:05 +0000 2025,0,1,13
33,Bethathang,"Cofam moje słowa Nawrocki to sprzedajna tania kurewka, nie wiem co zrobić już. Napisze na karcie wielki Duńczyk i chuj",Thu May 22 22:27:54 +0000 2025,0,0,20
34,ANNA,"KOCHANI !!! Karol nie zwalnia tempa !!
Wspieramy go do ostatniej chwili !!
ZAWSZE ZA POLSKĄ 🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱✌️ #NawrockiPrezydent2025 https://t.co/sFB2qXgpVY",Mon May 19 07:11:31 +0000 2025,8,262,1266
35,Iwona,Karol jebie PiS,Thu May 22 22:52:56 +0000 2025,0,0,12
36,Jerzy Sawka,"Karol Nawrocki tłukł się w kibicowskich ustawkach, wyczyścił mieszkanie. Napisał książkę o gdańskim gangusie Nikosiu, w której czuje się jego fascynację tą postacią. Ma kumpli z półświatka.
I ma szansę na zwycięstwo  w wyborach na prezydenta RP.
Czy ten kraj zwariował?",Thu May 22 21:03:07 +0000 2025,81,591,10738
