datetime,Happy,Angry,Surprise,Sad,Fear,tweet_count
2025-04-06 00:00:00+00:00,0.12630573248407645,0.03796178343949044,0.12840764331210192,0.06605095541401275,0.25203821656050956,157
2025-04-07 00:00:00+00:00,0.14477707006369428,0.03611464968152866,0.13560509554140127,0.10630573248407645,0.15057324840764333,157
2025-04-08 00:00:00+00:00,0.10263888888888889,0.03256944444444445,0.08222222222222222,0.13625,0.2225,144
2025-04-09 00:00:00+00:00,0.1083673469387755,0.06870748299319727,0.09414965986394558,0.12258503401360545,0.211156462585034,147
2025-04-10 00:00:00+00:00,0.10266666666666667,0.06553333333333333,0.10113333333333334,0.11280000000000001,0.2441333333333333,150
2025-04-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0
2025-04-12 00:00:00+00:00,0.0981132075471698,0.03559748427672956,0.11578616352201258,0.1689937106918239,0.2852830188679245,159
2025-04-13 00:00:00+00:00,0.06097222222222223,0.05215277777777778,0.14222222222222222,0.1782638888888889,0.3020138888888889,144
2025-04-14 00:00:00+00:00,0.16722580645161292,0.050451612903225806,0.11683870967741936,0.13051612903225807,0.31516129032258067,155
2025-04-15 00:00:00+00:00,0.08763513513513514,0.07114864864864864,0.10074324324324324,0.19736486486486488,0.28594594594594597,148
2025-04-16 00:00:00+00:00,0.07042553191489362,0.1023404255319149,0.05978723404255319,0.17914893617021277,0.39574468085106385,47
