No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Bartek,"🔨 Gwoźdź do trumny.
Nie wszystko da się zagłuszyć PR-em. Czasem wystarczy kilka „kartofli” w złym towarzystwie, by pogrzebać nawet najbardziej wypolerowaną kampanię.

👉 Co sądzicie?
🔁 Podaj dalej, jeśli widzisz to samo.

#satyra #komentarz #polityka #Trzaskowski #Gozdyra https://t.co/XY4shET1bI",Mon Jun 02 09:39:02 +0000 2025,17,486,141712
2,Michał Drewnicki,"Radne Koalicji Obywatelskiej nie pojadą na wakacje w góry, bo tam ludzie głosowali na Nawrockiego 😂 #Nawrocki #Trzaskowski https://t.co/kIzCGf2a35",Tue Jun 03 15:04:44 +0000 2025,4,10,486
3,Bożena Lisowska,"🇵🇱Rafale, dzękujemy! 
Teraz wracamy do pracy! 
Bo Polska jest jedna!

#wybory 
#trzaskowski 
#Sejm https://t.co/lcRFQ0csdm",Wed Jun 04 12:46:17 +0000 2025,5,29,538
4,Onet,"Dni wolne w zamian za podpis  😮 ➡️ https://t.co/nC153jB6oo

#Trzaskowski #Wybory #Wojsko #Żołnierze #Czarne #ZbieraniePodpisów #KodeksWyborczy https://t.co/MxbENN2zxj",Sun Jun 08 06:16:33 +0000 2025,2,1,1145
5,Radio Maryja,"„Byle nie Trzaskowski” – to hasło stało się symbolem sprzeciwu wobec obecnego kierunku rządzenia i braku realizacji obietnic - Prof. Arkadiusz Jabłoński
 Więcej na https://t.co/ELZ7mBGJT2  #radiomarya #tvtrwam  #Trzaskowski #Tusk #ProfJabłoński #Wybory2025 #BylenieTrzaskowski https://t.co/hKy7WIIJrG",Sat Jun 07 10:07:43 +0000 2025,1,30,733
6,🇵🇱MirAS,"#Trzaskowski
Ja cię nie mogę 😂
Podobno były pomysły żeby Rafał Trzaskowski mistrz przegrywu był premierem 😂 https://t.co/qepzIQxiaF",Wed Jun 04 14:53:03 +0000 2025,5,372,8664
7,Onet,"Doszło do poważnej pomyłki przy liczeniu głosów ⬅️  https://t.co/tDSHNbScCY 

#wybory #głosowanie #pomyłka #MińskMazowiecki #Trzaskowski #Nawrocki https://t.co/YT4vsi0eRm",Sat Jun 07 05:41:33 +0000 2025,6,11,1766
8,Daniel SZYSZ 🇵🇱,Nawrocki Prezydentem Polski - Trzaskowski miał swoje 5 minut #nawtocki #trzaskowski #wybory #wyboey2025 #panprezydentnawrocki https://t.co/xxKEDXYonO,Mon Jun 02 03:27:38 +0000 2025,4,59,4245
9,Biały Kruk,"Wygadał się @Adbodnar co zrobiliby od razu, jakby prezydentem 🇵🇱 został #Trzaskowski ⤵️ Posłuchaj https://t.co/M3o2Mau8GP",Mon Jun 02 12:24:27 +0000 2025,13,210,43021
10,Radio Republika,"Nie dziel skóry na niedźwiedziu… ✋🏻

🩳 SZORTY POLITYCZNE Jakuba Seweryna!
Krótko, ale kąśliwie. 🤡

#RadioRepublika #Radio #Republika #TVRepublika #DomWolnegoSłowa #WłączPrawdę #SzortyPolityczne #Polityka #Humor #Trzaskowski #SztabTrzaskowskiego #WyboryPrezydenckie https://t.co/SDKK8ZcTsV",Tue Jun 03 07:12:01 +0000 2025,0,20,1657
11,DW Polski,Polacy w Niemczech wybrali inaczej niż w kraju. #wyboryprezydenckie2025 #Polska #Niemcy #Trzaskowski #Nawrocki https://t.co/YNwUTQVDSN,Mon Jun 02 15:12:18 +0000 2025,24,10,1345
