No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
19,Jakub,"Podsumujmy:

- Nawrocki skłamał, że ma jedno mieszkanie (ma dwa)

- Nawrocki twierdził, że opiekował się Panem Jerzym (opiekował się nim ośrodek pomocy społecznej)

- Nawrocki skłamał, że ostatni raz Pana Jerzego widział w grudniu 2024 roku (widział w kwietniu 2024 roku) https://t.co/TqlONPP1uA",Mon May 05 11:52:37 +0000 2025,99,1675,51236
20,Kraków żąda przynajmniej Bukaresztu,"Evil Karol Nawrocki - wspaniały człowiek, nie zapomnę go nigdy.

#karolnawrocki2025 #panjerzy #opieka #mieszkanie #dps #pociągprawych https://t.co/pKztDshf1O",Mon May 05 23:09:29 +0000 2025,0,8,228
21,Jerzy,"Ty wiesz, co @kaczyński ci powie.",Mon May 05 22:59:57 +0000 2025,0,0,10
22,Media Lokalne,Polska tradycja… wykorzystać starszą osobę przejąć jej mieszkanie odesłać do DPS … ciekawe https://t.co/0eMPiGv0sh,Mon May 05 23:54:55 +0000 2025,0,0,18
23,Jacek Fogiel,Tak wygląda strach. Nawrocki miał opiekować się panem Jerzym w zamian za mieszkanie. Pan Jerzy od kwietnia 2024 przebywa w DPS. Za jego pobyt w ośrodku płaci miasto. Skandal❗ https://t.co/lpzSi66Rpy,Mon May 05 10:47:53 +0000 2025,110,1180,31178
24,🏆Marion💎,"#UkryteMieszkania #KarolNawrocki #CwaniakNawrocki  Czemu Nawrocki okłamał Polaków że ma 1  mieszkanie jak ma 2 ?? co jeszcze ma do ukrycia , ja mu nie ufam i nie wieże a wy ??? 🤔🤔🤔 https://t.co/8r03I5yFaA",Mon May 05 22:42:39 +0000 2025,0,0,44
25,AJB,"Nawrocki-Trump                     10 min
Trzaskowski-Trump                   0 min https://t.co/4AI5WHfCcZ",Mon May 05 23:22:32 +0000 2025,1,4,169
26,Magda Kopacz,Mieszkanie prawem!,Mon May 05 23:52:48 +0000 2025,0,1,22
27,wajdelotka perfect stranger,"@czardam @NawrockiKn I to jest dziwaczne, że kupił a Jerzy tam sobie mieszkał... Poza tym że to 'bohater_ którym Nawrocki się 'opiekował', opłacając czynsz za własne mieszkanie do którego nie miał kluczy tak bardzo że aż nie sprawdzał czy media nie odłączone a trup nie gnije. Dziwaczne.",Mon May 05 22:21:21 +0000 2025,0,1,53
28,Kuba,"A może Pan Jerzy wymienił w mieszkaniu zamki bo się po prostu bał Nowogrodzkiego albo jego szemranych kumpli i stąd ten brak kluczy...?

#ZgniłaMoralnośćKarola",Mon May 05 22:59:02 +0000 2025,0,10,101
