No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
74,Lady In Black #JestemProblememTuska #phPolski,"#TVP w likwidacji vs rzeczywistość.

P.@SlawomirMentzen to nie moja bajka,ale na manipulację nie można przymykać oczu.
Czysta woda,po prostu,zalewa ekran.
Z każdej strony!

#polityka #debata #ustawka #propaganda #TVP https://t.co/nHCs1cglXr",Tue Apr 15 08:02:51 +0000 2025,2,9,435
75,Mariusz Napastnik,"Wyglądał na dotkniętego #debata #Nawrocki2025 o #Trzaskowski 
Mistrz.",Wed Apr 16 19:39:22 +0000 2025,0,0,25
76,Br. Tomasz Żak,"Miło widzieć prawicowe media razem 👋
#debata 

@wPolscepl @RepublikaTV 
@TomaszSakiewicz @michalkarnowski 
@michalrachon @OlechowskiJarek @sjastrzebowski https://t.co/3oj5HIDLiJ",Mon Apr 14 21:43:56 +0000 2025,2,44,442
77,Polityka w sieci,"🎙️ Debata #debata #DebataPrezydencka  – 📺 TV Republika @RepublikaTV 
🔈 Zasięg: 480 MLN | 🔍 Zainteresowanie: numer 1 🇵🇱
♦️ Średnio 17,4 ekspozycji na osobę. To oznacza ekstremalnie wysoką intensywność ekspozycji – przeciętny użytkownik zetknął się z treścią ponad 17 razy.
💬",Tue Apr 15 07:31:40 +0000 2025,12,104,21911
78,Radosław Karbowski,"Wszyscy finansujemy Telewizję Polską. Jest coś niesamowicie bezczelnego w tym, że od kilku dni nie możemy doprosić się jako obywatele informacji, ile kosztowało wyprodukowanie sygnału w trakcie piątkowej debaty. Kto, komu i za co zapłacił. To powinna być informacja dostępna https://t.co/rwEuI8vwCM",Mon Apr 14 14:55:31 +0000 2025,120,4096,136172
79,Varajlama,"Debata w Republice tak kilka klas wyżej od TVP. Tak szczerze. Wiadomo, że trochę Republika w roli wilka przebranego za owcę, ale końcowy efekt dużo, dużo lepszy niż w TVP.
#debata",Tue Apr 15 06:50:22 +0000 2025,0,3,200
80,Bartłomiej Szulik,"„Mam największe szanse na wygranie z Rafałem Trzaskowskim w drugiej turze.”
– nowy dzwonek w telefonach pracowników @RepublikaTV

#debata #DebataPrezydencka #konfederacja",Tue Apr 15 07:01:38 +0000 2025,1,14,798
81,Grzesiek #PL #Nawrocki2025,"Popatrzcie jak typ chce rozporządzać reparacjami, które się Polsce od Niemców należą ⬇️
 #debata https://t.co/15TmQJGh14",Mon Apr 14 21:44:16 +0000 2025,2,8,147
82,Darek #Nawrocki2025 🇵🇱🇵🇱🇵🇱,"""Człowiek z papieru"" #Tchorzowski #Tchorzkowski #debata #debatarepublika https://t.co/oVzC3BfO1N",Mon Apr 14 21:41:11 +0000 2025,2,8,461
83,Młodzi dla Wolności Warszawa,"Mamy nadzieję, że po tej debacie będziecie pamiętali, kto ma NAJWIĘKSZE szanse na pokonanie Trzaskowskiego w drugiej turze! #Mentzen2025 #MentzenDrugaTura #Debata #DebataRepubliki #debatarepublika https://t.co/mx1qmBAuCR",Mon Apr 14 21:22:41 +0000 2025,3,607,9873
84,WolnośćTV,"""Co z polityką covidową PiS-u, piątką dla zwierząt, Zielonym Ładem, bycie uległym względem Ukrainy i wpuszczaniem setek tysięcy muzułmanów do Polski?""

✅ Sławomir Mentzen CIŚNIE Karola Nawrockiego
@SlawomirMentzen @KONFEDERACJA_ #debata #debataRepubliki https://t.co/tOLTsUqoBX",Mon Apr 14 21:00:18 +0000 2025,3,124,3631
85,Domino,"Wiecie, że Toyota od 27 lat produkuje hybrydy oraz, że tylko Mentzen ma szansę wygrać z @trzaskowski_ w II turze? 🤪 #debata #WyboryPrezydenckie2025",Mon Apr 14 21:42:06 +0000 2025,0,3,282
86,Kornel Ślusarz,"Artur Bartoszewicz: mam 40-stronicowy dokument
#debata https://t.co/Zoakeivgkd",Mon Apr 14 21:01:14 +0000 2025,0,23,1019
87,DoRzeczy,"Po #debata #REPUBLIKA fragment książki Trzaskowskiego robi furorę w sieci. ""Nie każdy bohater nosi pelerynę""⬇️https://t.co/vMKiwZLmCq",Tue Apr 15 10:56:36 +0000 2025,5,38,1758
88,JunkieMSN,"""Jako hydraulik z pierwszego zawodu chciałbym przepchać rurę Pani Senyszyn""
#debata https://t.co/AAjRvMY1Ap",Mon Apr 14 20:56:03 +0000 2025,0,7,330
89,Kuba Rutnicki,"Akcja #ObywateleNaprzód to  rozmowy z mieszkańcami naszych miejscowości. Ludzie po debacie w Końskich mówią jedno szacun dla Rafała bo Nawrocki lansuje się na boksera który wzywa na pojedynek ,a jak przyszło co do czego to zwiał z ringu - dlatego tylko #Trzaskowski2025✌️✌️🇵🇱🇵🇱 https://t.co/V32LnymsEu",Wed Apr 16 06:47:18 +0000 2025,219,570,11200
90,KSP2050,"Relacje seniorek, które wczoraj  kibicowały @szymon_holownia ✌️
@ella2016ella i Maria Kropidłowska 💛💛👇
https://t.co/iBO1abDW9n
#Hołownia2025 
#Debata 
#SeniorzyGłosująNaHołownię https://t.co/7wZc9HiFl8",Tue Apr 15 09:35:01 +0000 2025,0,7,65
91,PCh24.pl,"Ile jest płci? Pytanie proste, odpowiedzi – nie dla wszystkich. Sprawdź, co powiedzieli kandydaci na prezydenta i kto z nich zachował zdrowy rozsądek, a kto poddał się ideologicznemu chaosowi.

https://t.co/JRnwIpB0Vm

#Ideologia
#Prawda
#Debata
#Wybory2025",Tue Apr 15 07:22:03 +0000 2025,4,22,706
92,Rob Ptaszewski,"🇵🇱 Jak się okazało spokojna debata na argumenty bez zacietrzewionej @Platforma_org  🇩🇪 jest w Polsce możliwa❗️
Dobrze gdyby tej partii w Polsce w ogóle nie było. 
Pod rozwagę przyszłym rządzącym❗️
#Debata https://t.co/hKM7F4UWl1",Tue Apr 15 09:50:00 +0000 2025,0,2,37
93,Janek 🤠,"Senyszyn zadająca pytanie Braunowi
#debata https://t.co/Exh1Iry7CT",Mon Apr 14 20:35:06 +0000 2025,2,19,857
94,Młodzi dla Wolności Warszawa,"Tuż po debacie prezes @SlawomirMentzen osobiście przybył, aby przekazać nam wesołą nowinę, że ma największe szanse na pokonanie Rafała Trzaskowskiego w drugiej turze‼️‼️‼️‼️
#Mentzen2025 #MentzenDrugaTura #Debata #DebataRepubliki #debatarepublika https://t.co/85v9i5GYS9",Mon Apr 14 22:12:09 +0000 2025,60,1598,60351
95,Młodzi w Polityce,"Kampania wre i ostatnia debata w Republice. Czy była dobrze zorganizowana? 

https://t.co/0c0AuHPzLU

#polityka #debata #republika #trzaskowski #mwp",Wed Apr 16 13:52:59 +0000 2025,0,1,51
96,jachcy🇵🇱,"Koszty debaty w Końskich pokryje komitet Rafała Trzaskowskiego🔥

➡️Jak zapraszamy do restauracji to pokrywamy rachunki…

-Pytanie, czy Telewizja Polska to jest restauracja Rafała Trzaskowskiego⁉️🙃🚜🚜🚜🚜🚜🚜🚜 https://t.co/IWaRqmxvDt",Tue Apr 15 06:15:15 +0000 2025,53,2141,66693
97,Eli Wila,"Widać, że #debata zabolała pismaków, bo już lecą z artykułami w Onet i Newsweek. Wydanie specjalne, Rafał oczytany z inteligenckim entourage, piękne zdjęcie, Hołownia na dnie z Mam Talent. 
Zakłamany układ. https://t.co/PURTgM7mYC",Wed Apr 16 11:28:02 +0000 2025,9,56,1034
98,Ghost,"KAROL NAWROCKI 
i cyk, cała narracja silniczków poszła z dymem D:
#Wybory tylko #Nawrocki #DEbata https://t.co/lJy7gRMAvt",Wed Apr 16 19:07:04 +0000 2025,0,77,506
99,Filip Bk,"🇵🇱 Sławomir Mentzen zdecydowanie wygrał #DebataRepubliki i to on ma największe szanse na pokonanie Rafała Trzaskowskiego w II turze.
#debata https://t.co/On4Gc3FKDe",Mon Apr 14 21:02:17 +0000 2025,14,529,4968
100,John Bingham,"Wczorajsza debata była tak obficie wypełniona smaczkami, że komentatorom umknął chyba jeden absolutnie fantastyczny moment. Trochę się rozpiszę, ale to zasługuje na dokładną analizę. Otóż resortowy TVN przygotował pytanie, które w założeniu miało pogrążyć Karola Nawrockiego, a https://t.co/u2gj1DY7aF",Sat Apr 12 09:55:26 +0000 2025,147,4558,179891
101,Fakt,"Joanna Senyszyn znowu w centrum uwagi! Poznaj zaskakujące szczegóły jej kariery i życia prywatnego. 
#polityka #joannasenyszyn #wyboryprezydenckie2025 #debata https://t.co/dsKjRp3IAC",Tue Apr 15 10:50:01 +0000 2025,0,1,296
102,Piter Bakker 🇵🇱✝️💯,"Jeżeli Trzaskowski wygra wybory, to tak będą wyglądały Polki w 2030.
#debata #debatarepublika #GiertychDebil",Wed Apr 16 00:03:49 +0000 2025,0,2,288
103,Jolanta,"Panie Marszalku 
@szymon_holownia 
 Ale że aż tak!
""dom publiczny""🙉
 
media publiczne
#debata #Republika
#Nawrocki #PiS
#telewizja
#Hołownia
#prezydent
#media #tvp https://t.co/JycqcOJbEn",Tue Apr 15 18:53:41 +0000 2025,4,19,342
104,Dominik Chrzanowski 🇵🇱,"Co zrobić z #debata w TVP 12 maja? Dobrze by było jakby wszyscy kandydaci się zmobilizowali i po prostu nie przyszli na debatę do @tvp_info ‼️

Wyobraźcie sobie samotnego Rafałka w tej telewizji za 3,5 mld zł ‼️

@K_Stanowski @SlawomirMentzen @jakubiak_marek @GrzegorzBraun_",Mon Apr 14 23:49:31 +0000 2025,0,5,236
105,Marek Dudziński,"Z rekinami to się pływać nie boi. Ale, żeby na #debata do @RepublikaTV przyjść to już gorzej. Nie rozumiem @trzaskowski_ 😅 fot. @pikus_pol https://t.co/psmkQbLWrT",Tue Apr 15 12:16:47 +0000 2025,0,2,67
106,Paweł Szefernaker 🇵🇱,"Rafał Trzaskowski stchórzył, Karol Nawrocki wygrał #debata! 
Dobrej nocy! 🇵🇱",Mon Apr 14 21:09:39 +0000 2025,463,1968,46944
107,WolnośćTV,"🔴 MOWA KOŃCOWA Grzegorza Brauna w Debacie Republiki‼️

@GrzegorzBraun_  #debata #debataRepubliki https://t.co/L1jaKdfOiV",Mon Apr 14 21:03:12 +0000 2025,26,929,15943
108,Adam Zdrojkowski,🎤 Największe osiągnięcie rzeczniczki Nawrockiego! #Końskie #debata! #Naw... https://t.co/ARyFIcagyn przez @YouTube,Tue Apr 15 16:27:04 +0000 2025,0,6,58
109,Lady In Black #JestemProblememTuska #phPolski,"RafaU,cala kampania na wstecznym!🙈😎😁

#Tusk #Trzaskowski2025 #debata #kłamca https://t.co/SOggddsc7S",Wed Apr 16 11:35:37 +0000 2025,0,5,112
110,WolnośćTV,"""Jeżeli jeszcze raz przyjedzie do Polski niemiecki radiowóz z imigrantami, to im go ZAREKWIRUJEMY, policjantów ARESZTUJEMY, a imigrantów ODEŚLEMY!""

‼️ MOWA KOŃCOWA Sławomira Mentzena w debacie Republiki ‼️
@SlawomirMentzen @KONFEDERACJA_ #debata #debataRepubliki https://t.co/RmWqYZslps",Mon Apr 14 21:21:02 +0000 2025,8,602,8839
111,Karol Nawrocki - popieramy,"🔥🔥🔥 Najnowsze dane - TVN24 zanotował wczoraj jedynie POŁOWĘ oglądalności, jaką miała TV Republika ! 
#Debata #Nawrocki2025 https://t.co/LODzTg54aT",Tue Apr 15 07:19:21 +0000 2025,4,102,776
112,Jakub Kurek,"Pan @SlawomirMentzen kłamie. 

Mamy to pokazane jasno i wyraźnie, że sam nie wie co mówi.

Brawo dla Pana @GrzegorzBraun_ za trafne pytanie! 👏🏻

@RepublikaTV

#Braun2025 #Mentzen2025 #WyboryPrezydenckie2025 #debata #DebataRepubliki #polityka #Polska https://t.co/EWUDTEuj5k",Tue Apr 15 09:13:22 +0000 2025,17,435,6766
113,Marcin Dobski,"Kolega premiera Tuska, który sfinansował wynajem hali na #debata w Końskich, a który zorganizuje obchody za 20 mln zł, też powiązany z Sokiem z Buraka. 🙈 Mocny news @PNisztor. 🔥 https://t.co/5KH2ME9wXG",Wed Apr 16 15:03:33 +0000 2025,22,994,28283
114,Agnieszka Wojciechowska van Heukelom,"Miałkość Rafała Trzaskowskiego,   zastępcy Tuska, kandydata na Prezydenta RP coraz bardziej widoczna. To nie tylko kameleon polityczny  zmieniający poglądy w zależności od potencjalnych korzyści ale też osobnik gotów wyprzeć się samego siebie. Debata w Końskich go dyskwalifikuje! https://t.co/hHuabUjIkF",Mon Apr 14 06:54:56 +0000 2025,3,227,2574
115,Oskar Szafarowicz,"Gratulacje @NawrockiKn 👏

W debatach wynik 3:0 💪

Teraz czas dalszej ciężkiej i pokornej pracy ze wsparciem tysięcy sympatyków - walczymy o pełne zwycięstwo 18 maja 🇵🇱 

#Nawrocki2025 #DebataRepubliki #debata https://t.co/QGsZw8p8Ox",Mon Apr 14 21:51:43 +0000 2025,24,394,4109
116,Marcin Dobski,"NASZ NEWS: Ujawniamy umowę na wynajem hali na debatę Trzaskowskiego w Końskich. Wynajmującym jest firma kolegi premiera Tuska. 

W tekście dokument. 

#debata #DebataRepubliki 

https://t.co/1qlJU7NiU8",Mon Apr 14 15:17:02 +0000 2025,58,1596,180106
117,WolnośćTV,"""Państwo wymyśla kolejne BZDURY, którymi się zajmuje zamiast zająć się rzeczami najważniejszymi!""

✅ Sławomir Mentzen odpowiada na pytanie Adriana Zandberga
@SlawomirMentzen @KONFEDERACJA_ #debata #debataRepubliki https://t.co/wDuzbM3eIN",Mon Apr 14 21:14:20 +0000 2025,6,63,3434
118,Wacław Grabiec 🇵🇱,"Podsumowując: największym przegranym dzisiejszej debaty jest @trzaskowski_ .

#debata #debatarepublika #debatarepubliki",Mon Apr 14 21:55:28 +0000 2025,2,2,384
119,Grzesiek,"W przyszłym tygodniu złoże zawiadomienie do PKW w związku z nie oznaczeniem materiału wyborczego KW Rafała Trzaskowskiego jakim była debata, której On był organizatorem. 

Skieruje również wniosek o dostęp do informacji publicznej do TVP, aby podali koszty związane z 1/2",Sat Apr 12 06:25:06 +0000 2025,6,273,2320
120,🇵🇱Polka🇵🇱,"🔴 Ważne informacje 🔴
Takiego skandalu w historii wyborów w Polsce jeszcze nie było❗Burmistrz Końskich potwierdził, że najemcą hali na debatę było TVP, a to oznacza, że telewizja publiczna współfinansuje debatę razem ze... sztabem Rafała Trzaskowskiego!

Krótko mówiąc: https://t.co/Hvy1kF00Ov",Sun Apr 13 10:16:53 +0000 2025,129,7605,117618
121,Adam Andruszkiewicz,"Czy widział ktoś szarpaniny i agresję (tj. w czasie debaty Trzaskowskiego) podczas debaty @RepublikaTV w Końskich? Nie. Dlaczego? Powód jest prosty. Opowiem jako naoczny świadek tych dwóch wydarzeń.

Debata Republiki była realnie otwarta, pluralistyczna. Każdy mógł jako widz https://t.co/jihHRJQT6N",Sat Apr 12 18:01:14 +0000 2025,103,544,19692
122,jachcy🇵🇱,"Funkcjonariusze dwoją się i troją🔥

➡️Rafał Trzaskowski źle wszedł w debatę bo był nierozgrzany jak reszta😡😂😂😂😂 https://t.co/bVkpo30TXA",Sun Apr 13 05:02:50 +0000 2025,310,2329,1127278
123,Ruch Narodowy,"Wicemarszałek Sejmu @krzysztofbosak: Sprawę debaty w TVP trzeba wyjaśnić. Albo złamał prawo sztab Rafał Trzaskowski, nie oznaczając swojego materiału wyborczego logiem komitetu, albo prawo złamała TVP, nielegalnie finansując kampanię Rafał Trzaskowski, a jego komitet przyjmując https://t.co/ZZFeps8spu",Mon Apr 14 06:57:26 +0000 2025,6,208,1884
124,Ewa Ululska,Trzaskowski zsorany👍👍👍Obnazona jego hipokryzja.Rafal to porazka i obciach💩💩💩🙈 https://t.co/u7HvJY71Gr,Sat Apr 12 06:24:35 +0000 2025,12,1486,7346
125,Marzena Paczuska,"Jeżeli prawdą jest, że sztab Trzaskowskiego zapłacił TVP za produkcję sygnału z debaty w Końskich - to był to bardzo kosztowny prezent świąteczny 😉 https://t.co/oMr8zer0zt",Tue Apr 15 07:56:21 +0000 2025,19,462,12234
126,Max Hübner,"Krzysztof Stanowski o ""zaproszeniu"" przez Trzaskowskiego na nielegalną ""debatę-ustawkę"" Rafała Trzaskowskiego we współpracy z neoTVP.

Nawet pokazał jak powinno wyglądać prawdziwe zaproszenie - z Telewizji Republika na dzisiaj.

Tak upada próba odtworzenia salonu III RP. https://t.co/kRw62cTzo0",Mon Apr 14 14:04:30 +0000 2025,7,949,14950
127,air_kadiush #FBPE,"📣 Mgr @SlawomirNitras członek  sztabu dr. Rafała @trzaskowski_  wyjaśnił słynne, aroganckie zachowanie mgr dziennikarstwa Emilii Wierzbicki, rzeczniczki Karola N. w Końskich

💠Okazuje się jednak, że nie tylko ona zaprezentowała pokaz  buty i chamstwa. 
Również przebierańce w https://t.co/TcW8YjDNlQ",Mon Apr 14 16:42:41 +0000 2025,21,520,20202
